Record ID,Company name,Type,Sector,Company Domain Name,Number of Employees,City,Country,Company owner,Create Date,Website URL,Phone Number,Last Activity Date,Country/Region,Industry,Lifecycle Stage,Street Address
178000000000.0,Lee Boyd Architects and Designers,other,n/a,leeboyd.com,11,,,no owner,24/06/2025 10:41,https://leeboyd.com,,,,,other,
178000000000.0,Re-Format,,,re-format.co.uk,26,,,Ellinor,24/06/2025 10:41,https://re-format.co.uk,+44 (0)1730 778778,,,,Lead,"1 Buckmore Studios, Buckmore Lane, Petersfield, Hampshire, GU32 3FX"
179000000000.0,PWP Architects,other,n/a,pwp-architects.com,11,,,no owner,24/06/2025 10:39,https://pwp-architects.com,,,,,other,
179000000000.0,CS Pringle,other,n/a,cspringle.com,11,,,no owner,24/06/2025 10:39,https://cspringle.com,,,,,other,
179000000000.0,MJP Architects,other,n/a,mjparchitects.co.uk,11,,,no owner,24/06/2025 10:39,https://mjparchitects.co.uk,,,,,other,
179000000000.0,Julian Cowie Architects Limited,,,jc-architects.co.uk,11,,,James Garrett,24/06/2025 10:39,https://jc-architects.co.uk,,,,,Lead,
179000000000.0,Inverse Lighting Design Ltd.,,,inverselighting.co.uk,15,,,James,24/06/2025 10:39,https://inverselighting.co.uk,+44(0)207 708 2749,,,,Lead,"2A Peacockyard, Iliffe Street, SE17 3LH, London"
179000000000.0,Randell Design Group,other,n/a,randelldesigngroup.com,11,,,no owner,24/06/2025 10:39,https://randelldesigngroup.com,,,,,other,
179000000000.0,TACP Architects Ltd,,,tacparchitects.co.uk,19,,,Ellinor,24/06/2025 10:39,https://tacparchitects.co.uk,01978 291161,,,,Lead,"Pembroke House, Ellice Way Wrexham Technology Park, Wrexham LL13 7YT"
179000000000.0,BURR DESIGN ASSOCIATES LIMITED,,,burrdesign.co.uk,11,,,James Garrett,24/06/2025 10:39,https://burrdesign.co.uk,,,,,Lead,
179000000000.0,John Coward Architects,,,johncowardarchitects.co.uk,11,,,James Garrett,24/06/2025 10:39,https://johncowardarchitects.co.uk,,,,,Lead,
179000000000.0,Smith + Kennedy Architects,,,smithkennedy.ie,11,,,James Garrett,24/06/2025 10:39,https://smithkennedy.ie,,,,,Lead,
179000000000.0,Fullbrook Nursery,other,n/a,fullbrookplants.co.uk,11,,,no owner,24/06/2025 10:39,https://fullbrookplants.co.uk,,,,,other,
179000000000.0,DLA Town Planning Ltd,,,dlatownplanning.com,11,,,James Garrett,24/06/2025 10:39,https://dlatownplanning.com,,,,,Lead,
179000000000.0,frontload,,,frontload.co.uk,11,,,James Garrett,24/06/2025 10:39,https://frontload.co.uk,,,,,Lead,
179000000000.0,CSK Architects,,,cskarchitects.co.uk,10,,,James,24/06/2025 10:39,https://cskarchitects.co.uk,01753 840519,,,,Lead,"93A High Street, Eton, Berkshire SL4 6AF, United Kingdom"
179000000000.0,Kampus International Ltd,other,n/a,thekampus.co.uk,11,,,no owner,24/06/2025 10:39,https://thekampus.co.uk,,,,,other,
179000000000.0,apt. Design Ltd,other,n/a,apt-design.co.uk,2,,,no owner,24/06/2025 10:39,https://apt-design.co.uk,,,,,other,
179000000000.0,Wyvern Partnership LLP,,,wyvernpartnership.co.uk,32,,,Ellinor,24/06/2025 10:39,https://wyvernpartnership.co.uk,01380 723532,,,,Lead,"10 Long Street, Devizes, England, GB"
179000000000.0,RG Partnership Ltd,,,rgp.uk.com,33,,,Ellinor,24/06/2025 10:39,https://rgp.uk.com,0161 797 6000,,,,Lead,"105 Manchester Road, Bury, Lancashire, BL9 0TD"
