Record ID,Company name,Type,Sector,Company Domain Name,Number of Employees,City,Country,Company owner,Create Date,Website URL,Phone Number,Last Activity Date,Country/Region,Industry,Lifecycle
 Stage,Street Address
178000000000.0,MR Partnership Limited,other,,mrpartnership.co.uk,11,,,No Owner,2025-09-09 00:01,https://mrpartnership.co.uk,,2025-09-09 00:01,,,Other,
178000000000.0,Quentin Alder Architects,other,,quentinalder.co.uk,11,,,No Owner,2025-09-09 00:01,https://quentinalder.co.uk,,2025-09-09 00:01,,,Other,
178000000000.0,hgh Consulting,,,hghconsulting.com,11,,,James Garrett,2025-09-09 00:01,https://hghconsulting.com,020 7851 4040,2025-09-09 00:01,,,Lead,"77-79 Great Peter Street, London, SW1P 2EZ"
178000000000.0,Stuart Forbes Associates,,,stuartforbes.com,16,,,Ellinor,2025-09-09 00:01,https://stuartforbes.com,+44 207 731 8111,2025-09-09 00:01,,,Lead,"Unit 2 Burlington Lodge Studios, 48 Rigault Road, Fulham, London, SW6 4JJ"
179000000000.0,dPb,other,,dpbltd.co.uk,4,,,No Owner,2025-09-09 00:01,https://dpbltd.co.uk,,2025-09-09 00:01,,,Other,
179000000000.0,ARCHITECTONIC DESIGN LTD,,,architectonicdesign.co.uk,11,,,James Garrett,2025-09-09 00:01,https://architectonicdesign.co.uk,,2025-09-09 00:01,,,Lead,
179000000000.0,Jonathan Hendry Architects,other,,jonathanhendryarchitects.com,4,,,No Owner,2025-09-09 00:01,https://jonathanhendryarchitects.com,,2025-09-09 00:01,,,Other,
179000000000.0,SPACE DESIGN ARCHITECTURE LIMITED,,,spacedesignarchitecture.co.uk,11,,,James Garrett,2025-09-09 00:01,https://spacedesignarchitecture.co.uk,,2025-09-09 00:01,,,Lead,
179000000000.0,Cube PSL,other,,cubepsl.co.uk,11,,,No Owner,2025-09-09 00:01,https://cubepsl.co.uk,,2025-09-09 00:01,,,Other,
179000000000.0,Sondh Associates Ltd.,other,,sondhassociates.com,2,,,No Owner,2025-09-09 00:01,https://sondhassociates.com,,2025-09-09 00:01,,,Other,
179000000000.0,Robinson Kenning & Gallagher,,,rkgpartnership.co.uk,11,,,James Garrett,2025-09-09 00:01,https://rkgpartnership.co.uk,+44 (0) 20 8684 8125,2025-09-09 00:01,,,Lead,"Airport House, Purley Way, Croydon, CR0 0XZ"
179000000000.0,Office For Architectural Culture Limited,other,,officeforarchitecturalculture.com,11,,,No Owner,2025-09-09 00:01,https://officeforarchitecturalculture.com,,2025-09-09 00:01,,,Other,
179000000000.0,Restorative Techniques Ltd,other,,restorative-products.com,11,,,No Owner,2025-09-09 00:01,https://restorative-products.com,,2025-09-09 00:01,,,Other,
179000000000.0,Johnston Cave Associates,,,johnstoncave.com,11,,,James Garrett,2025-09-09 00:01,https://johnstoncave.com,,2025-09-09 00:01,,,Lead,
179000000000.0,David Jarvis Associates Limited,,,davidjarvis.biz,11,,,James Garrett,2025-09-09 00:01,https://davidjarvis.biz,01242 571828,2025-09-09 00:01,,,Lead,"1 St. Georges Court, St. Georges Road, Cheltenham, Gloucestershire, GL50 3DT"
179000000000.0,AVR London,other,,avr.london,11,,,No Owner,2025-09-09 00:01,https://avr.london,,2025-09-09 00:01,,,Other,
179000000000.0,Moloney O'Beirne Architects,,,mob.ie,18,,,Ellinor,2025-09-09 00:01,https://mob.ie,01 400 3200,2025-09-09 00:01,,,Lead,"Oyster Point, Temple Road, Blackrock, Co. Dublin, Ireland"
179000000000.0,Coe Design Landscape Architecture,,,coe-design.co.uk,5,,,James,2025-09-09 00:01,https://coe-design.co.uk,01305 770 666,2025-09-09 00:01,,,Lead,"5A Saint Thomas Street, Weymouth, England, DT4 8EW, United Kingdom"
179000000000.0,CD Architects,,,graydesignltd.co.uk,9,,,James,2025-09-09 00:01,https://graydesignltd.co.uk,+44 (0) 28 3025 1885,2025-09-09 00:01,,,Lead,"40-41 The Mall, Newry. BT34 1AN"
179000000000.0,SAM Group,,,samplanning.co.uk,18,,,Ellinor,2025-09-09 00:01,https://samplanning.co.uk,(+44) 20 3846 6745,2025-09-09 00:01,,,Lead,"Unit 9B The High Cross Centre Fountayne Road, London, N15 4BE"
179000000000.0,Yiangou Architects,,,yiangou.com,11,,,James Garrett,2025-09-09 00:01,https://yiangou.com,01285 888 150,2025-09-09 00:01,,,Lead,"Dyer House, 3 Dyer St, Cirencester, GL7 2PP"
179000000000.0,Maltby Land Surveys Ltd - Based in Sussex,other,,maltbysurveys.com,4,,,No Owner,2025-09-09 00:01,https://maltbysurveys.com,,2025-09-09 00:01,,,Other,
179000000000.0,Soundscape,,,soundscape.uk,11,,,James Garrett,2025-09-09 00:01,https://soundscape.uk,+44 (0)800 612 6944,2025-09-09 00:01,,,Lead,
179000000000.0,Moxley Architects Ltd,,,moxley.co.uk,11,,,James Garrett,2025-09-09 00:01,https://moxley.co.uk,,2025-09-09 00:01,,,Lead,
179000000000.0,MMM Architects Ltd,,,mmmarchitects.com,11,,,James Garrett,2025-09-09 00:01,https://mmmarchitects.com,020 7286 9499,2025-09-09 00:01,,,Lead,"The Banking Hall, 26 Maida Vale, London, W9 1RS"
179000000000.0,KnoxClayton Architects,,,knox-clayton.co.uk,11,,,James Garrett,2025-09-09 00:01,https://knox-clayton.co.uk,,2025-09-09 00:01,,,Lead,
179000000000.0,Arqui9 Visualisation,,,arqui9.com,5,,,James,2025-09-09 00:01,https://arqui9.com,+44 (0) 1737 223 342,2025-09-09 00:01,,,Lead,"7-11 Lonsdale House, High St, Reigate, RH2 9AA, United Kingdom"
179000000000.0,LOYN+CO ARCHITECTS,,,loyn.co.uk,11,,,James Garrett,2025-09-09 00:01,https://loyn.co.uk,,2025-09-09 00:01,,,Lead,
179000000000.0,Murdoch Wickham,,,murdochwickham.com,55,,,Ellinor,2025-09-09 00:01,https://murdochwickham.com,01732 752780,2025-09-09 00:01,,,Lead,"The Tithe Barn, Bradbourne House, East Malling, Kent, ME19 6DZ"
